"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX9826221","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","11.99","1","40709","24429154","AGMH_a_463","POOLCLONE","METAGENOMIC","PCR"
"SRX9826220","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","11.29","1","38286","23008826","AGMH_a_462","POOLCLONE","METAGENOMIC","PCR"
"SRX9826219","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","5.65","1","19113","11489849","AGMH_a_461","POOLCLONE","METAGENOMIC","PCR"
"SRX9826218","pmoA","Methylosarcina sp. NH4_1","Illumina MiSeq","Kunsan National University","SRP301336","Discrepancy in exchangeable and soluble ammonium-induced effects on aerobic methane oxidation; a microcosm study of a paddy soil.","SRS8008697","","11.66","1","39721","23883564","AGMH_a_460","POOLCLONE","METAGENOMIC","PCR"
"SRX9689914","genome MMONAS_LL1","Methylomonas sp. LL1","PacBio RS II","NIOO-KNAW","SRP298120","Riparian wetland methanotrophs","SRS7887077","","378.42","1","63638","576231044","MMONAS_LL1","WGS","GENOMIC","RANDOM"
"SRX6259215","Trace experiment for center TIGR, GENOMIC, species METHYLOCOCCUS CAPSULATUS STR. BATH  T1864","Methylococcus capsulatus str. Bath","AB 310 Genetic Analyzer","TIGR","SRP296185","Uses methane as sole carbon and energy source","SRS5013857","","29.03","1","1366","1132549","T1864","WGA","GENOMIC","unspecified"
"SRX6259214","Trace experiment for center TIGR, GENOMIC, species METHYLOCOCCUS CAPSULATUS STR. BATH  T13642","Methylococcus capsulatus str. Bath","AB 310 Genetic Analyzer","TIGR","SRP296185","Uses methane as sole carbon and energy source","SRS5013857","","553.58","1","28064","24474317","T13642","WGA","GENOMIC","unspecified"
"SRX6259213","Trace experiment for center TIGR, GENOMIC, species METHYLOCOCCUS CAPSULATUS STR. BATH  T13641","Methylococcus capsulatus str. Bath","AB 310 Genetic Analyzer","TIGR","SRP296185","Uses methane as sole carbon and energy source","SRS5013857","","224.02","1","10910","10027669","T13641","WGA","GENOMIC","unspecified"
"SRX6259212","Trace experiment for center TIGR, GENOMIC, species METHYLOCOCCUS CAPSULATUS STR. BATH  ","Methylococcus capsulatus str. Bath","AB 310 Genetic Analyzer","TIGR","SRP296185","Uses methane as sole carbon and energy source","SRS5013857","","17.2","1","844","766503","","FINISHING","GENOMIC","unspecified"
"SRX9567789","GSM4933004: 5GB1_FM80_t2_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7760797","","517.6","1","29579686","1508563986","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567788","GSM4933003: 5GB1_FM69_t4_TR1_UW; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7776111","","52.6","1","1710477","123154344","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567787","GSM4933002: 5GB1_FM69_t4_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7775710","","467.81","1","26889570","1371368070","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567786","GSM4933001: 5GB1_FM69_t3_TR1_UW; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7763378","","68.34","1","2218781","159752232","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567785","GSM4933000: 5GB1_FM69_t3_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7762955","","504.33","1","28855627","1471636977","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567784","GSM4932999: 5GB1_FM40_T90m_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7760743","","268.77","1","18200628","655222608","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567783","GSM4932998: 5GB1_FM40_T90m_TR2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7759739","","342.67","1","21471480","772973280","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567782","GSM4932997: 5GB1_FM40_T60m_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7758170","","297.68","1","9070087","653046264","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567781","GSM4932996: 5GB1_FM40_T60m_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7775503","","441.19","1","28573382","1028641752","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567780","GSM4932995: 5GB1_FM40_T40m_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7766325","","291.39","1","19704106","709347816","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567779","GSM4932994: 5GB1_FM40_T40m_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7762371","","290.95","1","17402636","626494896","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567778","GSM4932993: 5GB1_FM40_T20m_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7758411","","480.25","1","14560549","1048359528","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567777","GSM4932992: 5GB1_FM40_T20m_TR2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7766929","","321.22","1","20358634","732910824","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567776","GSM4932991: 5GB1_FM40_T180m_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7760313","","253.63","1","17125852","616530672","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567775","GSM4932990: 5GB1_FM40_T180m_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7760955","","331.34","1","20552116","739876176","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567774","GSM4932989: 5GB1_FM40_T150m_TR1_remake; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7775527","","644.07","1","46806882","1685047752","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567773","GSM4932988: 5GB1_FM40_T150m_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7774606","","189.85","1","7024242","505745424","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567772","GSM4932987: 5GB1_FM40_T10m_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7767185","","282.7","1","19164800","689932800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567771","GSM4932986: 5GB1_FM40_T10m_TR3; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7757989","","313.71","1","19269354","693696744","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567770","GSM4932985: 5GB1_FM40_T0m_TR2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7762294","","535.33","1","34793524","1252566864","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567769","GSM4932984: 5GB1_FM40_T0_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7771471","","261.51","1","17508318","630299448","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567768","GSM4932983: 5GB1_FM34_T8_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7763466","","152.44","1","4424351","318553272","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567767","GSM4932982: 5GB1_FM34_T7_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7764590","","162.64","1","4716988","339623136","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567766","GSM4932981: 5GB1_FM34_T6_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7765722","","126.07","1","3658564","263416608","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567765","GSM4933009: 5GB1_vial_woLa_TR2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7771163","","47.89","1","1550520","111637440","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567764","GSM4933008: 5GB1_vial_wLa_TR3; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7774141","","31.68","1","1032142","74314224","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567763","GSM4933007: 5GB1_FM81_t2_TR3; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7760762","","544.17","1","31273543","1594950693","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567762","GSM4933006: 5GB1_FM81_t1_TR3; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7773726","","542.55","1","31163579","1589342529","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567761","GSM4933005: 5GB1_FM80_t4_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7763924","","513.62","1","29494678","1504228578","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567760","GSM4932980: 5GB1_FM34_T5_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7762712","","133.79","1","3824465","275361480","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567759","GSM4932979: 5GB1_FM34_T4_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7759393","","182.29","1","5222973","376054056","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567758","GSM4932978: 5GB1_FM34_T3_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7771309","","173.32","1","5009653","360695016","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567757","GSM4932977: 5GB1_FM34_T0_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7773090","","188.82","1","5466558","393592176","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567756","GSM4932976: 5GB1_FM23_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7772236","","166.85","1","7258015","261288540","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567755","GSM4932975: 5GB1_FM22_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7770184","","129.34","1","5068219","182455884","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567754","GSM4932974: 5GB1_FM22_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7768520","","119.7","1","4689338","168816168","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567753","GSM4932973: 5GB1_FM21_TR2_UW; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7776183","","995.63","1","40897711","1472317596","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567752","GSM4932972: 5GB1_FM21_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7771809","","116.92","1","4570810","164549160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567751","GSM4932971: 5GB1_FM21_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7771328","","109.95","1","4307871","155083356","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567750","GSM4932970: 5GB1_FM20_TR3_UW; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7762758","","1360.05","1","55844593","2010405348","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567749","GSM4932969: 5GB1_FM20_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7772743","","73.23","1","2872217","103399812","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567748","GSM4932968: 5GB1_FM20_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7760072","","204.7","1","9255468","333196848","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567747","GSM4932967: 5GB1_FM20_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7772954","","68.62","1","2659263","95733468","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567746","GSM4932966: 5GB1_FM19_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7767550","","79.43","1","3118588","112269168","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567745","GSM4932965: 5GB1_FM19_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7767756","","372.56","1","15325054","551701944","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567744","GSM4932964: 5GB1_FM18_TR3_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7758739","","183.5","1","8031231","289124316","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567743","GSM4932963: 5GB1_FM18_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7769142","","226.86","1","10196546","367075656","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567742","GSM4932962: 5GB1_FM18_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7771264","","383.74","1","16680291","600490476","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567741","GSM4932961: 5GB1_FM14_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7768532","","257.89","1","11756969","423250884","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567740","GSM4932960: 5GB1_FM14_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7764254","","251.44","1","11406213","410623668","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567739","GSM4932959: 5GB1_FM12_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7762951","","239.46","1","9781707","352141452","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567738","GSM4932958: 5GB1_FM12_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7767159","","443.89","1","18511822","666425592","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567737","GSM4932957: 5GB1_FM11_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7763377","","289.01","1","11989598","431625528","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567736","GSM4932956: 5GB1_FM11_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7762828","","90.11","1","4016103","144579708","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567735","GSM4932955: 5GB1_FM03_TR2_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7767530","","175.75","1","7853302","282718872","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX9567734","GSM4932954: 5GB1_FM03_TR1_QC; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP293740","A computational framework for identifying promoter sequences in non-model organisms using RNA-seq datasets","SRS7769453","","89.55","1","3995646","143843256","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"ERX4361070","HiSeq X Ten paired end sequencing; Raw reads: microbes_in_stratified_freshwaters_-_SAG_SB-2103-994-G23_from_sample_ERS4600339","uncultured Methylococcaceae bacterium","HiSeq X Ten","BILS","ERP122124","Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds","ERS4870973","","830.9","1","7434115","2245102730","SAG SB-2103-994-G23 from sample ERS4600339","WGA","GENOMIC SINGLE CELL","RANDOM"
"ERX4361068","HiSeq X Ten paired end sequencing; Raw reads: microbes_in_stratified_freshwaters_-_SAG_SB-2103-994-C7_from_sample_ERS4600339","uncultured Methylococcaceae bacterium","HiSeq X Ten","BILS","ERP122124","Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds","ERS4870971","","405.48","1","3910481","1180965262","SAG SB-2103-994-C7 from sample ERS4600339","WGA","GENOMIC SINGLE CELL","RANDOM"
"ERX4360486","HiSeq X Ten paired end sequencing; Raw reads: microbes_in_stratified_freshwaters_-_SAG_SB-2103-1070-C11_from_sample_ERS4600375","uncultured Methylococcaceae bacterium","HiSeq X Ten","BILS","ERP122124","Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds","ERS4870937","","370.84","1","3226333","974352566","SAG SB-2103-1070-C11 from sample ERS4600375","WGA","GENOMIC SINGLE CELL","RANDOM"
"ERX4360332","HiSeq X Ten paired end sequencing; Raw reads: microbes_in_stratified_freshwaters_-_SAG_SB-2103-1053-O15_from_sample_ERS4600375","uncultured Methylococcaceae bacterium","HiSeq X Ten","BILS","ERP122124","Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds","ERS4870928","","710.57","1","6738668","2035077736","SAG SB-2103-1053-O15 from sample ERS4600375","WGA","GENOMIC SINGLE CELL","RANDOM"
"ERX4360248","HiSeq X Ten paired end sequencing; Raw reads: microbes_in_stratified_freshwaters_-_SAG_SB-2103-1053-H13_from_sample_ERS4600375","uncultured Methylococcaceae bacterium","HiSeq X Ten","BILS","ERP122124","Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds","ERS4870922","","470.43","1","4237018","1279579436","SAG SB-2103-1053-H13 from sample ERS4600375","WGA","GENOMIC SINGLE CELL","RANDOM"
"ERX4296718","PacBio RS sequencing","Methylomonas fluvii","PacBio RS","GFZ German Research Centre for Geosciences","ERP115312","Genome sequencing of two Methylomonas species isolated from the river Elbe (Germany)","ERS4535075","","9451.73","1","163482","2864835694","unspecified","WGS","GENOMIC","RANDOM"
"ERX4296717","PacBio RS sequencing","Methylomonas albis","PacBio RS","GFZ German Research Centre for Geosciences","ERP115312","Genome sequencing of two Methylomonas species isolated from the river Elbe (Germany)","ERS4535074","","13432.08","1","163482","4124582596","unspecified","WGS","GENOMIC","RANDOM"
"SRX8724123","Methylomicrobium-jap-rel_Bali_mangrove_soils_Winter","Methylomicrobium sp.","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999156","","0.05","1","1","495","Methylomicrobium-jap-rel_BW","AMPLICON","METAGENOMIC","PCR"
"SRX8724122","Methylobacter_Bali_mangrove_soils_Winter","Methylobacter","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999155","","0.05","1","1","495","Methylobacter_BW","AMPLICON","METAGENOMIC","PCR"
"SRX8724121","Methylomicrobium-jap-rel_Bali_mangrove_soils_Summer","Methylomicrobium sp.","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999154","","0.05","1","1","495","Methylomicrobium-jap-rel_BS","AMPLICON","METAGENOMIC","PCR"
"SRX8724120","Methylobacter_Bali_mangrove_soils_Summer","Methylobacter","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999153","","0.05","1","1","495","Methylobacter_BS","AMPLICON","METAGENOMIC","PCR"
"SRX8724118","Methylobacter_Guandu_mangrove_soils_Summer","Methylobacter","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999151","","0.05","1","1","495","Methylobacter_GS","AMPLICON","METAGENOMIC","PCR"
"SRX8724116","Uncultured_Type_Ib_Guandu_mangrove_soils_Summer","type I methanotrophic bacterium","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999149","","0.07","1","1","495","Uncultured_Type_Ib_GS","AMPLICON","METAGENOMIC","PCR"
"SRX8724115","Methylomonas_Bali_mangrove_soils_Summer_replicate_1","Methylomonas","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999148","","0.05","1","1","495","Methylomonas_BS_1","AMPLICON","METAGENOMIC","PCR"
